id,cultivo,temperatura,humedad,radiacion_solar,precipitacion,viento,resultado
1,uva,19.6,66.0,18.7,1.1,2.4,NO
2,uva,30.5,43.0,21.3,0.2,4.1,NO
3,uva,26.4,59.6,25.7,5.6,6.9,SI
4,cafe,22.7,89.3,8.1,15.1,7.1,NO
5,cafe,20.2,71.5,18.7,4.5,4.1,SI
6,cafe,24.8,83.1,19.3,13.9,5.6,SI
7,cafe,18.6,73.8,16.8,16.3,3.9,NO
8,papa,18.5,61.4,13.4,5.8,1.9,NO
9,papa,20.4,71.4,16.8,12.8,2.8,NO
10,cafe,19.7,73.0,21.1,12.7,6.3,NO
11,papa,16.4,67.3,16.9,5.5,11.2,NO
12,uva,25.8,64.0,27.6,6.2,4.2,NO
13,papa,19.7,72.0,11.0,13.9,7.2,NO
14,uva,22.4,62.9,20.9,7.3,7.4,NO
15,cafe,19.1,87.3,15.5,14.2,4.6,SI
16,uva,23.6,47.7,30.0,4.1,2.3,NO
17,papa,20.3,64.6,12.4,10.8,7.6,NO
18,cafe,21.1,94.9,15.4,17.6,8.7,NO
19,papa,18.2,63.4,23.3,11.8,9.5,NO
20,cafe,18.9,78.0,14.4,17.3,8.8,NO
21,cafe,25.8,87.9,15.1,4.6,6.4,NO
22,uva,25.1,47.0,20.6,1.3,14.3,NO
23,uva,30.9,61.0,22.3,0.9,6.1,NO
24,cafe,19.9,72.2,15.9,4.2,7.5,SI
25,papa,21.7,76.0,11.9,10.6,11.4,NO
26,papa,13.2,86.2,16.3,4.8,6.9,NO
27,uva,27.7,65.0,21.0,5.4,6.2,SI
28,uva,24.3,48.7,16.0,0.2,8.8,NO
29,uva,21.1,42.5,24.5,1.8,13.7,NO
30,cafe,18.6,72.1,17.4,6.2,1.8,NO
31,uva,26.1,48.5,22.1,3.3,2.3,SI
32,uva,24.0,54.8,22.0,5.8,10.4,SI
33,uva,19.4,54.1,20.1,6.9,4.5,NO
34,papa,16.4,64.2,12.8,8.0,10.6,NO
35,papa,15.3,85.8,18.3,2.7,12.0,NO
36,papa,21.6,87.8,22.7,4.2,6.3,NO
37,papa,20.4,87.1,12.5,2.0,5.3,NO
38,cafe,20.3,85.9,18.2,14.8,6.8,SI
39,cafe,19.2,73.9,21.6,11.7,5.7,NO
40,uva,22.4,41.8,22.2,7.4,8.4,NO
41,papa,21.5,62.4,12.8,9.7,8.4,NO
42,papa,14.8,88.2,18.5,9.5,1.4,NO
43,papa,15.0,77.5,17.8,14.2,3.2,NO
44,uva,22.4,49.3,17.0,5.2,7.4,NO
45,papa,10.1,78.6,18.4,3.3,6.9,NO
46,uva,21.7,72.7,28.2,7.0,6.2,NO
47,papa,15.3,76.3,14.5,14.8,9.9,NO
48,uva,18.1,68.6,19.5,5.3,14.1,NO
49,papa,13.2,86.7,21.1,4.0,4.1,NO
50,papa,18.6,66.1,19.5,5.4,6.4,SI
