2026-09-16 05:10:49,903 | INFO     | api | Modelo cargado desde /home/user/Practica_MLOPS/models/modelo.joblib
2026-09-16 05:10:49,903 | INFO     | api | Métricas de entrenamiento cargadas (2026-09-16T05:00:15+00:00)
2026-09-16 05:10:49,907 | INFO     | api | Dataset de referencia cargado: 50 filas
2026-09-16 05:10:50,007 | INFO     | api | Simulador de tráfico iniciado (intervalo=2.0s)
2026-09-16 05:11:06,386 | INFO     | api | predict id=cf6fc2500d6d cultivo=cafe p_si=0.560 -> SI
2026-09-16 05:11:06,409 | INFO     | api | feedback id=cf6fc2500d6d real=SI pred=SI
2026-09-16 05:11:08,097 | INFO     | api | simulador accion=burst intervalo=None cantidad=10
2026-09-16 05:11:08,106 | INFO     | api | simulador accion=speed intervalo=1.0 cantidad=None
2026-09-16 05:13:37,695 | INFO     | api | predict id=aaecc087a0d2 cultivo=papa p_si=0.209 -> NO
2026-09-16 05:13:38,405 | INFO     | api | feedback id=aaecc087a0d2 real=SI pred=NO
2026-09-16 05:15:06,795 | INFO     | api | Modelo cargado desde /home/user/Practica_MLOPS/models/modelo.joblib
2026-09-16 05:15:06,795 | INFO     | api | Métricas de entrenamiento cargadas (2026-09-16T05:00:15+00:00)
2026-09-16 05:15:06,798 | INFO     | api | Dataset de referencia cargado: 50 filas
2026-09-16 05:15:06,871 | INFO     | api | Simulador de tráfico iniciado (intervalo=2.0s)
2026-09-16 13:43:23,757 | INFO     | api | Modelo cargado desde /home/user/Practica_MLOPS/models/modelo.joblib
2026-09-16 13:43:23,757 | INFO     | api | Métricas de entrenamiento cargadas (2026-09-16T05:00:15+00:00)
2026-09-16 13:43:23,773 | INFO     | api | Dataset de referencia cargado: 50 filas
2026-09-16 13:43:23,910 | INFO     | api | Simulador de tráfico iniciado (intervalo=2.0s)
2026-09-16 13:44:22,265 | INFO     | api | predict id=cf4f80527471 cultivo=cafe p_si=0.481 -> NO
2026-09-16 13:44:22,802 | INFO     | api | feedback id=cf4f80527471 real=NO pred=NO
2026-09-16 13:44:25,034 | INFO     | api | simulador accion=stop intervalo=None cantidad=None
2026-09-16 13:44:25,684 | INFO     | api | simulador accion=start intervalo=None cantidad=None
2026-09-16 14:13:43,826 | INFO     | api | Modelo cargado desde /home/user/Practica_MLOPS/models/modelo.joblib
2026-09-16 14:13:43,827 | INFO     | api | Métricas de entrenamiento cargadas (2026-09-16T05:00:15+00:00)
2026-09-16 14:13:43,833 | INFO     | api | Dataset de referencia cargado: 50 filas
2026-09-16 14:13:43,945 | INFO     | api | Simulador de tráfico iniciado (intervalo=2.0s)
2026-09-16 14:14:08,935 | INFO     | api | predict id=e0b0f953d3fc cultivo=cafe p_si=0.617 -> SI
2026-09-16 14:14:09,446 | INFO     | api | feedback id=e0b0f953d3fc real=SI pred=SI
2026-09-20 19:50:16,977 | INFO     | api | Modelo cargado desde C:\Users\lreyn\Downloads\Practica_MLOPS_arena_ai\models\modelo.joblib
2026-09-20 19:50:17,012 | INFO     | api | Métricas de entrenamiento cargadas (2026-09-20T19:22:43-05:00)
2026-09-20 19:50:17,043 | INFO     | api | Dataset de referencia cargado: 50 filas
2026-09-20 19:50:17,941 | INFO     | api | Simulador de tráfico iniciado (intervalo=2.0s)
2026-09-20 20:06:22,404 | INFO     | api | Modelo cargado desde C:\Users\lreyn\Downloads\Practica_MLOPS_arena_ai\models\modelo.joblib
2026-09-20 20:06:22,409 | INFO     | api | Métricas de entrenamiento cargadas (2026-09-20T19:22:43-05:00)
2026-09-20 20:06:22,543 | INFO     | api | Dataset de referencia cargado: 50 filas
2026-09-20 20:06:23,633 | INFO     | api | Simulador de tráfico iniciado (intervalo=2.0s)
2026-09-20 21:24:39,409 | INFO     | api | predict id=9a856d5b250a cultivo=cafe p_si=0.616 -> SI
2026-09-20 21:27:40,231 | INFO     | api | predict id=4ad979639307 cultivo=papa p_si=0.381 -> NO
2026-09-20 21:27:41,931 | INFO     | api | predict id=ec66d57eda7a cultivo=papa p_si=0.381 -> NO
2026-09-20 21:27:42,965 | INFO     | api | predict id=13b6e6227dc5 cultivo=papa p_si=0.381 -> NO
2026-09-20 21:27:46,754 | INFO     | api | predict id=bde142a5ed95 cultivo=uva p_si=0.373 -> NO
2026-09-20 21:27:48,301 | INFO     | api | predict id=d0ffe7f05b01 cultivo=uva p_si=0.373 -> NO
2026-09-20 21:27:51,084 | INFO     | api | predict id=5ffbb2709ff4 cultivo=cafe p_si=0.616 -> SI
2026-09-20 22:35:18,529 | INFO     | api | Modelo cargado desde C:\Users\lreyn\Downloads\Practica_MLOPS_arena_ai\models\modelo.joblib
2026-09-20 22:35:18,608 | INFO     | api | Métricas de entrenamiento cargadas (2026-09-20T19:22:43-05:00)
2026-09-20 22:35:19,547 | INFO     | api | Dataset de referencia cargado: 50 filas
2026-09-20 22:35:23,032 | INFO     | api | Simulador de tráfico iniciado (intervalo=2.0s)
2026-09-20 22:36:13,868 | INFO     | api | predict id=61efb2f1c4a4 cultivo=cafe p_si=0.616 -> SI
2026-09-20 22:45:11,400 | INFO     | api | predict id=7ba584f4b102 cultivo=uva p_si=0.340 -> NO
2026-09-20 22:46:09,092 | INFO     | api | simulador accion=speed intervalo=3.6 cantidad=None
2026-09-20 22:46:11,507 | INFO     | api | simulador accion=speed intervalo=4.4 cantidad=None
2026-09-20 22:46:12,791 | INFO     | api | simulador accion=speed intervalo=6.0 cantidad=None
2026-09-20 22:46:13,476 | INFO     | api | simulador accion=speed intervalo=5.8 cantidad=None
2026-09-20 22:46:33,571 | INFO     | api | predict id=d682ea05232b cultivo=uva p_si=0.340 -> NO
2026-09-20 22:46:45,851 | INFO     | api | predict id=117f351d8ca2 cultivo=cafe p_si=0.581 -> SI
2026-09-20 22:46:58,247 | INFO     | api | simulador accion=burst intervalo=None cantidad=25
2026-09-20 23:09:26,906 | INFO     | api | Modelo cargado desde C:\Users\lreyn\Downloads\Practica_MLOPS_arena_ai\models\modelo.joblib
2026-09-20 23:09:26,908 | INFO     | api | Métricas de entrenamiento cargadas (2026-09-20T19:22:43-05:00)
2026-09-20 23:09:26,926 | INFO     | api | Dataset de referencia cargado: 50 filas
2026-09-20 23:09:27,792 | INFO     | api | Simulador de tráfico iniciado (intervalo=2.0s)
2026-09-20 23:13:14,469 | INFO     | api | Modelo cargado desde C:\Users\lreyn\Downloads\Practica_MLOPS_arena_ai\models\modelo.joblib
2026-09-20 23:13:14,489 | INFO     | api | Métricas de entrenamiento cargadas (2026-09-20T19:22:43-05:00)
2026-09-20 23:13:14,669 | INFO     | api | Dataset de referencia cargado: 50 filas
2026-09-20 23:13:16,468 | INFO     | api | Simulador de tráfico iniciado (intervalo=2.0s)
2026-09-20 23:36:44,928 | INFO     | api | Modelo cargado desde C:\Users\lreyn\Downloads\Practica_MLOPS_arena_ai\models\modelo.joblib
2026-09-20 23:36:44,939 | INFO     | api | Métricas de entrenamiento cargadas (2026-09-20T19:22:43-05:00)
2026-09-20 23:36:45,029 | INFO     | api | Dataset de referencia cargado: 50 filas
2026-09-20 23:36:46,752 | INFO     | api | Simulador de tráfico iniciado (intervalo=2.0s)
2026-09-20 23:37:03,073 | INFO     | api | predict id=fde4729db766 cultivo=cafe p_si=0.616 -> SI
2026-09-20 23:37:13,827 | INFO     | api | predict id=0cd7714a07f1 cultivo=uva p_si=0.532 -> SI
2026-09-20 23:43:12,669 | INFO     | api | Modelo cargado desde C:\Users\lreyn\Downloads\Practica_MLOPS_arena_ai\models\modelo.joblib
2026-09-20 23:43:12,704 | INFO     | api | Métricas de entrenamiento cargadas (2026-09-20T19:22:43-05:00)
2026-09-20 23:43:12,788 | INFO     | api | Dataset de referencia cargado: 50 filas
2026-09-20 23:43:14,035 | INFO     | api | Tarea del simulador creada.
2026-09-20 23:43:14,042 | INFO     | api | Simulador de tráfico iniciado (intervalo=2.0s)
2026-09-21 08:31:40,857 | INFO     | api | Modelo cargado desde C:\Users\lreyn\Downloads\Practica_MLOPS_arena_ai\models\modelo.joblib
2026-09-21 08:31:40,875 | INFO     | api | Métricas de entrenamiento cargadas (2026-09-20T19:22:43-05:00)
2026-09-21 08:31:41,158 | INFO     | api | Dataset de referencia cargado: 50 filas
2026-09-21 08:31:41,997 | INFO     | api | Tarea del simulador creada.
2026-09-21 08:31:41,998 | INFO     | api | Simulador de tráfico iniciado (intervalo=2.0s)
2026-09-21 08:31:42,129 | INFO     | api | Deteniendo tarea del simulador...
2026-09-21 08:31:42,130 | INFO     | api | Tarea del simulador cancelada correctamente.
2026-09-21 08:31:42,130 | INFO     | api | FastAPI shutdown completado correctamente.
2026-09-21 08:31:53,059 | INFO     | api | Modelo cargado desde C:\Users\lreyn\Downloads\Practica_MLOPS_arena_ai\models\modelo.joblib
2026-09-21 08:31:53,060 | INFO     | api | Métricas de entrenamiento cargadas (2026-09-20T19:22:43-05:00)
2026-09-21 08:31:53,071 | INFO     | api | Dataset de referencia cargado: 50 filas
2026-09-21 08:31:53,539 | INFO     | api | Tarea del simulador creada.
2026-09-21 08:31:53,540 | INFO     | api | Simulador de tráfico iniciado (intervalo=2.0s)
2026-09-21 08:41:08,303 | INFO     | api | predict id=e587e83872ac cultivo=cafe p_si=0.616 -> SI
